"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","sold_individually","low_stock_amount","purchase_note","product_page_url","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:Age","attribute_data:Age","attribute_default:Age","attribute:BarCode","attribute_data:BarCode","attribute_default:BarCode","attribute:Brand","attribute_data:Brand","attribute_default:Brand","attribute:pa_barcode","attribute_data:pa_barcode","attribute_default:pa_barcode"
"Futuristic Flyer","futuristic-flyer","8173","Futuristic Flyer","Get set for supersonic fun with the LEGO® Creator 3in1 31086 Futuristic Flyer, featuring an awesome dark red and white color scheme, forward swept wings, tinted cockpit, fixed landing gear and a flaming jet engine. With this LEGO Creator 3in1 set you get 3 different build and play experiences. Build the Futuristic Flyer and then rebuild it into a Futuristic Spaceship toy or a Futuristic LEGO Robot with wings and backpack for more sci-fi fun.                                                        Enjoy 3 building opportunities with this LEGO® Creator 3in1 set. Build the Futuristic Flyer, then rebuild and head into space with a Futuristic Spaceship or enjoy sci-fi adventures with a flying Futuristic Robot.
 The Futuristic Flyer features forward swept wings, a tinted cockpit, fixed landing gear and a flaming jet engine.
 Check out the futuristic flyers dark red and white color scheme.
 Take control of this awesome plane and head for the skies for supersonic jet adventures.
 Futuristic Flyer measures over 2 (7cm) high, 7 (20cm) long and 8 (22cm) wide.
 Futuristic Spaceship measures over 1 (4cm) high, 6 (17cm) long and 5 (14cm) wide.
 Futuristic Robot stands over 3 (10cm) high.Building Instructions","publish","0","2020-02-12 06:35:35","1","open","31086","no","no","0","3800","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/futuristic-flyer/","https://www.toysdirect.co.ke/wp-content/uploads/products/31086/31086_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/31086/31086_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/31086/31086_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/31086/31086_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/31086/31086_alt5.jpg","","simple","","Age > 4 Years +|LEGO Creator","fixed landing gear|flaming jet engine|futuristic flyer|futuristic robot|Lego|LEGO Creator|supersonic jet adventure|swept wing|tinted cockpit|white color scheme","","4+","2|1|0","","5702016367812","1|1|0","","Futuristic Flyer","0|1|0","","","",""
"Mighty Dinosaurs","mighty-dinosaurs","8174","Mighty Dinosaurs","Have fun with the awesome T. rex, featuring a dark-green and beige color scheme, bright orange eyes, posable joints and head, large claws and an opening mouth with pointed teeth. Also includes the dinosaur’s prey in the form of a buildable rib cage. Rebuild this 3-in-1 LEGO® Creator Mighty Dinosaurs model to create a Triceratops or a Pterodactyl. Features a 3-in-1 T. rex with bright orange eyes, posable joints and head, large claws and an opening mouth with pointed teeth. Also includes the dinosaur’s prey in the form of a buildable rib cage.
 Check out the authentic dark-green and beige color scheme.
 Stomp through the streets with the scary T. rex.
 Pose the T. rex’s arms, legs, tail and head, and open its mouth to reveal ferocious teeth.
 Rebuild to create other Mighty Dinosaurs.
 This set includes over 170 pieces and offers an age-appropriate build and play experience for ages 7-12.
 3-in-1 model: rebuilds into a Triceratops or a Pterodactyl.
 T. rex measures over 4 (11cm) tall.
 Triceratops measures over 3 (9cm) tall.
 Pterodactyl measures over 1 (4cm) high, 7 (18cm) long and 9 (25cm) wide.Building Instructions","publish","0","2020-02-12 06:35:35","1","open","31058","no","no","9","3100","2830","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/mighty-dinosaurs/","https://www.toysdirect.co.ke/wp-content/uploads/products/31058/31058_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/31058/31058_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/31058/31058_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/31058/31058_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/31058/31058_alt5.jpg","","simple","","Age > 4 Years +|LEGO Creator","beige color scheme|bright orange eye|buildable rib cage|City Great Vehicles|head|large claw|Lego|opening mouth|pointed teeth|posable joint|triceratops","","4+","2|1|0","","5702015867535","1|1|0","","Mighty Dinosaurs","0|1|0","","","",""
"Volkswagen Beetle","volkswagen-beetle","8175","Volkswagen Beetle","Celebrate the iconic VW Beetle with this awesome LEGO® Creator Expert reproduction. This detailed model comprises a number of special features and elements that help recreate the distinctive Beetle characteristics, including an azure-blue color scheme, curved fenders, flat windshield, VW logo, and an authentic 4-cylinder air-cooled engine and fuel tank. The accessible interior features beige-colored, forward-tilting seats, dashboard and steering wheel, and the roof-mounted surfboard and a cooler box can be removed. This model has been designed to provide a challenging and rewarding building experience with a touch of nostalgia.
Build the world’s most popular car, packed with authentic 1960’s details! Includes curved fenders, distinctive hubcaps, round headlights, wing-mounted turn signals, surfer accessories, opening hood, trunk and doors LEGO Creator Expert building toys are compatible with all LEGO construction sets for creative building The Beetle is over 5 high, 11 long and 4 wide 1167 pieces – For LEGO fans over 16 years old
Building Instructions","publish","0","2020-02-12 06:35:35","1","open","10252","no","no","1","20100","18350","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","4","","https://www.toysdirect.co.ke/product/volkswagen-beetle/","https://www.toysdirect.co.ke/wp-content/uploads/products/10252/10252_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10252/10252_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10252/10252_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10252/10252_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10252/10252_alt5.jpg","","simple","","Age > 16 Years +|LEGO Creator Expert","authentic 4-cylinder air|City Great Vehicles|construction set|creator expert|creator expert building|creator expert reproduction|curved fender|door creator|iconic vw beetle|Lego|mounted turn signal|touch of nostalgia","","16+","2|1|0","","5702015591171","1|1|0","","Volkswagen Beetle","0|1|0","","","",""
"London Bus","london-bus","8176","London Bus","Celebrate iconic design with this charming double-decker London Bus, featuring a wealth of authentic details, including a bright-red color scheme, panoramic windshield, specially made standard-tread tires, destination sign, and an open rear boarding deck with a hand pole, ticket bin, fire extinguisher and a half-spiral staircase that leads to the upper sightseeing deck. Functions include an opening hood with engine, detailed driver’s cab with a sliding door, and a removable roof and upper deck for access to the detailed interior with worn look seating and additional authentic details, including a forgotten umbrella, newspaper, empty beverage can and discarded chewing gum. Reversible transit advertising posters are also provided as printed labels with a 1950s or present-day London promotion. This LEGO® Creator Expert model has been designed to provide a challenging and rewarding building experience with a touch of nostalgia and charm. The London Bus comes with an array of brick-built features and details, including large windows, bright red curved bodywork, panoramic windshield, reversible transit advertising posters provided as printed labels, specially made standard-tread tires and a destination sign. It also has an opening hood with engine, detailed driver’s cab with sliding door, and a removable roof and upper deck for access to the detailed interior.
Interior details include worn look seating, open rear boarding deck with a hand pole, ticket bin, fire extinguisher and a half-spiral staircase that leads to the sightseeing deck. Additional authentic detailing includes a forgotten umbrella, newspaper, empty beverage can and discarded chewing gum elements.
Choose your favorite decade with the miniature, reversible transit advertising posters, featuring a 1950s or present day London promotion.
Remove the roof and upper deck for full access to the detailed interior.
Slide open the driver’s door to access the detailed cab with panoramic windscreen.
Lift the hood to access the engine.
Special elements include a new-for-August-2017 tire with standard tread, quarter bows and arches in red, and 1x1x1 A2/3 bricks with vertical studs.
This model includes more than 1,680 pieces.
This model is scaled for shelf display alongside other models in the LEGO® Creator Expert vehicle series.
Measures over 7 (18cm) high, 13 (34cm) long and 5 (13cm) wide.Building Instructions","publish","0","2020-02-12 06:35:35","1","open","10258","no","no","1","26400","22460","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","4","","https://www.toysdirect.co.ke/product/london-bus/","https://www.toysdirect.co.ke/wp-content/uploads/products/10258/10258_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10258/10258_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10258/10258_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10258/10258_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10258/10258_alt5.jpg","","simple","","Age > 16 Years +|LEGO Creator Expert","City Great Vehicles|day london promotion|destination sign|detailed interior|empty beverage|Lego|rear boarding deck|removable roof|reversible transit advertising|transit advertising poster|upper deck|worn look seating","","16+","2|1|0","","5702015865296","1|1|0","","London Bus","0|1|0","","","",""
"James Bond™ Aston Martin DB5","james-bond-aston-martin-db5","8177","James Bond™ Aston Martin DB5","Get a license to build with the awesome LEGO® Creator Expert 10262 James Bond™ Aston Martin DB5. This impressive replica model captures the elegance and timeless sophistication of Agent 007’s iconic 1964 sports car, and comes with a wealth of authentic details and functioning gadgetry. Open the doors and youll discover a detailed interior with a concealable radar tracker and a door compartment containing a telephone. And when its time for action, activate the passenger ejector seat, turn the revolving number plates, raise the rear-window bulletproof screen, deploy the wheel-mounted tyre scythes and pull back the gearstick to reveal the front wing machine guns. This collectible model car also features a detailed straight-6 engine, drum-lacquered silver front and rear bumpers, moulded silver-coloured wire wheel rim inserts and front and rear Aston Martin logos. The model has been designed to provide a challenging and rewarding building experience full of nostalgia—a must-have for fans of the Aston Martin DB5, James Bond movies and LEGO building sets.                                                                                                                                                                                                                                                                                                                                                                                                                                                   Authentic replica of the world-famous 1964 Aston Martin DB5 sports car, featuring a classic design with drum-lacquered silver front and rear bumpers, moulded silver-coloured wire wheel rim inserts, opening boot, bonnet and doors, and a wealth of James Bond™ gadgetry, including a working ejector seat, revolving number plates, rear-window bulletproof screen, front wing machine guns and wheel-mounted tyre scythes.
 This LEGO® James Bond™ Aston Martin DB5 model also features opening doors and a detailed interior with a concealable radar tracker and door compartment with telephone.
 Lift the bonnet to check out the straight-6 engine detailing.
 Pull back the rear bumper to eject unwelcome passengers.
 Revolve the number plates, raise the rear-window bulletproof screen and deploy the wheel-mounted tyre scythes.
 Pull back the gearstick to reveal the front wing machine guns.
 Own this collectible replica of the Aston Martin DB5, as featured in the classic James Bond™ Goldfinger movie.
 This set includes over 1,290 pieces and is suitable for ages 16+.
 New-for-August-2018 special elements include a drum-lacquered macaroni connector, 2x4 tile and 1M beam, plus a printed 1x2 tile with grille pattern.
 Measures over 3 (10cm) high, 13 (34cm) long and 4 (12cm) wide.Building Instructions","publish","0","2020-02-12 06:35:36","1","open","10262","no","no","0","37700","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/james-bond-aston-martin-db5/","https://www.toysdirect.co.ke/wp-content/uploads/products/10262/10262_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10262/10262_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10262/10262_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10262/10262_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10262/10262_alt5.jpg","","simple","","Age > 16 Years +|LEGO Creator Expert","aston martin db5|City Great Vehicles|concealable radar tracker|front wing machine|james bond|lacquered silver front|Lego|mounted tyres scythe|rear bumper|wheel rim insert|windows bulletproof screen|wing machine gun","","16+","2|1|0","","5702016111828","1|1|0","","James Bond™ Aston Martin DB5","0|1|0","","","",""
"LEGO® DUPLO® All-in-One-Box-of-Fun","lego-duplo-all-in-one-box-of-fun","8178","LEGO® DUPLO® All-in-One-Box-of-Fun","The LEGO® DUPLO® All-In-One Box of Fun set has a whole load of DUPLO bricks for fun building and rebuilding for creative play. At its heart is a buildable wagon base with rounded edges and wheels that really turn. This comprehensive set also includes 2 opening window elements, a cute dog and numbered bricks with corresponding decorated bricks to help your child develop their counting skills. There are even extra classic DUPLO bricks for more creative fun. Includes a boy DUPLO figure.  Let your imagination run wild with this colorful collection of LEGO DUPLO elements in a handy storage case! Includes one DUPLO boy figure and dog figure LEGO DUPLO Doc brick building toys are compatible with all other LEGO DUPLO construction sets for creative building House measures over 5 high, 4 wide and 3 deep. Wagon measures over 1 high, 3 long and 2 wide. Dog stands over 1 tall. Boy stands over 1 tall 65 pieces – For boys and girls between the ages of 1.5 and 5 years old Building Instructions","publish","0","2020-02-12 06:35:36","1","open","10572","no","no","0","6300","5780","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/lego-duplo-all-in-one-box-of-fun/","https://www.toysdirect.co.ke/wp-content/uploads/products/10572/10572_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10572/10572_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10572/10572_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10572/10572_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10572/10572_alt5.jpg","","simple","","Age > 1½ Years +|LEGO Duplo > LEGO DUPLO My First","box of fun|brick building toys|buildable wagon base|building house measures|duplo boy figure|duplo construction set|duplo doc|duplo elements|figure duplo|Juniors|Lego|load of duplo","","1½+","2|1|0","","5702015115551","1|1|0","","LEGO® DUPLO® All-in-One-Box-of-Fun","0|1|0","","","",""
"Number Train","number-train","8179","Number Train","Introduce STEM toys early with the LEGO® DUPLO® Number Train. It’s a colorful introduction to numbers and counting. Your toddler will love to build and rebuild this developmental toy, learning early number recognition as they go! This set is the perfect educational gift for little ones and a great introduction to the LEGO STEM sets. With two child DUPLO® figures and a cat figure, the set provides endless storytelling and creativity for little minds. If you’re looking for a learning toy or STEM gift, the Number Train is your best bet, and DUPLO® bricks are designed to be safe and suitable for little hands.  Includes two child LEGO® DUPLO® figures, plus a cat figure. Features a buildable locomotive and three wagons. Includes bricks decorated with numbers 0 to 9. Use the decorated bricks to teach your child about numbers and counting. Encourage building and role-play. LEGO® DUPLO® products are specially designed to be safe and easy for little hands. This set offers an age-appropriate build and play experience for ages 1½-3 years. Train with wagons attached measures over 3 (10cm) high, 14 (37cm) long and 2 (6cm) wide. Building Instructions","publish","0","2020-02-12 06:35:36","1","open","10847","no","no","10","3800","3530","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/number-train/","https://www.toysdirect.co.ke/wp-content/uploads/products/10847/10847_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10847/10847_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10847/10847_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10847/10847_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10847/10847_alt5.jpg","","simple","","Age > 4 Years +|LEGO Duplo > LEGO DUPLO My First","cat figure|duplo|early number recognition|introduce stem toys|Lego|LEGO Classic|little hand|number|number train|set|stem set","","4+","2|1|0","","5702015866637","1|1|0","","Number Train","0|1|0","","","",""
"Gray Baseplate","gray-baseplate","8180","Gray Baseplate","Whether you’re creating a street scene, castle, or something of your own imagination, this gray-colored 48x48-stud baseplate is the perfect starting point for building, displaying, and playing with your LEGO® creations.

Measures 48x48 studs or 15 (38cm) x 15 (38cm)
A great supplement to any LEGO® collection!
Building Instructions","publish","0","2020-02-12 06:35:36","1","open","10701","no","no","63","3100","2880","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","7","","https://www.toysdirect.co.ke/product/gray-baseplate/","https://www.toysdirect.co.ke/wp-content/uploads/products/10701/10701_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10701/10701_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10701/10701_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10701/10701_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10701/10701_alt5.jpg","","simple","","Age > 4 Years +|LEGO Classic","building|building instructions|collection|creation|great supplements|imagination|Lego|perfect starting point|Speed Champions|street scene","","4+","2|1|0","","5702015357159","1|1|0","","Gray Baseplate","0|1|0","","","",""
"Creative Suitcase","creative-suitcase","8181","Creative Suitcase","Create, play and pack neatly away with this smart and convenient LEGO® Classic 10713 Creative Suitcase, featuring a selection of brightly colored LEGO building bricks, including bricks, eyes, wheels and shapes, for building all kinds of houses, vehicles, creatures and creations. Open the yellow case to access multiple compartments where you can organize and store LEGO pieces. This set also includes simple, age-appropriate building instructions that will help children discover their own creative building skills.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Features a sturdy yellow suitcase with handy sorting compartments and a selection of colorful pieces, including building bricks, shapes, wheels and eyes.
 Makes a perfect starter set for budding LEGO® builders.
 This LEGO® Classic building set fosters open-ended creativity and imagination.
 Suitcase measures over 10 (26cm) high, 11 (28cm) wide and 2 (6cm) deep.
 Visit LEGO.com/classic for additional building instructions, fun videos, ideas and inspiration.
 Let creativity grow with LEGO® Classic sets!Building Instructions","publish","0","2020-02-12 06:35:36","1","open","10713","no","no","0","4700","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/creative-suitcase/","https://www.toysdirect.co.ke/wp-content/uploads/products/10713/10713_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10713/10713_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10713/10713_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10713/10713_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10713/10713_alt5.jpg","","simple","","Age > 4 Years +|LEGO Classic","additional building instructions|appropriate building instructions|building brick|classic sets!building instructions|colored building|creative building skills|kind of house|Lego|selection|Speed Champions|yellow case","","4+","2|1|0","","5702016111330","1|1|0","","Creative Suitcase","0|1|0","","","",""
"Blue Baseplate","blue-baseplate","8182","Blue Baseplate","Whether you are creating a seaside town, sunny swimming pool, ship at sea or something else from your imagination, this LEGO® Classic 10714 blue 32x32-stud baseplate is the perfect base for building, displaying and playing with your LEGO creations. Blue LEGO® Baseplate
Create a seaside town, sunny swimming pool, ship on the high seas or whatever else you can imagine.
A great supplement to any LEGO® collection.
Measures 32x32 studs or 10 (25cm) square.
Let creativity grow with LEGO® Classic sets!Building Instructions","publish","0","2020-02-12 06:35:36","1","open","10714","no","no","28","2300","2100","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","7","","https://www.toysdirect.co.ke/product/blue-baseplate/","https://www.toysdirect.co.ke/wp-content/uploads/products/10714/10714_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10714/10714_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10714/10714_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10714/10714_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/10714/10714_alt5.jpg","","simple","","Age > 4 Years +|LEGO Classic","blue great supplements|classic sets!building instructions|creation|high sea|Lego|perfect base|seaside town|ship|Star Wars TM|sunny swimming pool","","4+","2|1|0","","5702016111927","1|1|0","","Blue Baseplate","0|1|0","","","",""
